id_stacji	stacja	data_pomiaru	godzina_pomiaru	temperatura	predkosc_wiatru	kierunek_wiatru	wilgotnosc_wzgledna	suma_opadu	cisnienie	CO	NO2	PM10	PM2.5	C6H6	NO2	O3	PM10	SO2	C6H6	C6H6	CO	NO2	PM10	PM2.5	SO2	
12566	Kraków	2022-01-26	3	0.8	4	220	97.1	0.01	1027.9	531.3299999999999	17.8719	28.3893	23.2664	0.66785	15.6603	22.0954	27.9284	7.22855	0.1944	0.8175	688.6	17.6722	26.3274	22.6602	8.1987	
12566	Kraków	2022-01-26	4	0.9	4	230	97.1	0.01	1027.7	531.4499999999999	26.6825	32.0627	25.4022	0.51361	16.4293	21.8857	18.2875	7.26993	0.0648	0.54102	656.25	15.4367	23.0854	19.6416	7.76047	
12566	Kraków	2022-01-26	5	0.7	3	230	97.1	0.01	1027.7	590.6	36.6435	39.387	30.2756	0.49231	20.6387	20.0229	18.8158	6.73276	0.50445	0.4531	689.38	19.8567	23.8617	19.7435	7.84059	
12566	Kraków	2022-01-26	6	0.8	4	220	97.1	1.1	1027.4	771.95	49.8198	36.5997	28.2339	0.73424	24.023	17.9087	27.5353	6.25987	0.50445	0.50688	688.87	24.0036	21.6016	17.9415	7.24261	
12566	Kraków	2022-01-26	7	0.9	4	220	97.1	1.1	1027.3	781.59	47.8568	34.853	26.875	0.95483	28.9275	15.1172	30.773	5.67688	0.54711	0.59042	741.4300000000001	34.3915	25.5329	19.8444	6.03355	
12566	Kraków	2022-01-26	8	1	4	220	97.1	1.1	1027.3	750.9	44.5289	34.7453	27.68	0.92346	30.8655	14.8888	31.847	6.35888	0.37395	0.57124	713.31	33.5421	24.4341	18.6315	7.5054	
12566	Kraków	2022-01-26	9	1	4	230	97.1	1.1	1027.3	739.22	53.835	37.6293	30.0461	0.89472	32.3309	16.1825	28.9848	6.80517	0.60048	0.52387	711.25	30.7246	28.3459	22.8298	7.60654	
12566	Kraków	2022-01-26	10	1.4	4	210	95.7	1.1	1027.3	726.61	52.2751	39.9447	30.9981	0.83866	31.6293	16.9228	21.6329	7.13914	0.324	0.54493	721.45	30.8283	28.3899	22.7978	7.27313	
12566	Kraków	2022-01-26	11	1.4	5	220	97.1	1.1	1026.9	787.64	49.1416	50.702	36.3517	0.96298	32.3542	15.9711	32.4791	8.63244	0.15048	0.54349	732.99	31.7758	33.886	27.0298	7.43459	
12566	Kraków	2022-01-26	12	1.5	4	210	97.1	1.1	1026.5	772.2	48.8304	43.952	34.9228	1.23326	31.2283	16.2657	34.3115	8.73958	0.10872	0.71487	743.58	32.3771	34.956	28.1966	7.60615	
